SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
000041.58+010545.5,0.173268,1.095974,1.5452,-24.669,-0.067,324
001711.96+001009.1,4.299875,0.169217,2.9278,-26.535,0.455,325
000812.29+001312.4,2.051212,0.220122,1.051,-24.449,0.139,326
001023.93+010039.4,2.599709,1.010965,1.3826,-25.201,0.052,327
001115.69+011459.2,2.815377,1.249789,0.5804,-22.891,0.67,328
001946.95-010812.0,4.94565,-1.13669,2.1166,-25.958,0.295,329
001146.06+010654.9,2.941951,1.115262,2.0065,-25.933,0.009,330
000724.67-005106.0,1.852811,-0.851678,1.4123,-24.586,-0.041,331
001100.87-001532.1,2.753653,-0.258929,0.8925,-23.455,-0.236,332
000109.12-004121.6,0.288026,-0.689356,0.4166,-22.824,0.077,333
001603.34-011514.2,4.013931,-1.25397,1.416,-25.263,0.07,334
000725.18+003645.0,1.854943,0.612525,2.0335,-26.513,0.129,335
000118.69+003314.1,0.327907,0.553922,1.4003,-24.289,-0.095,336
001800.20+004602.8,4.500853,0.767457,1.9004,-26.89,-0.015,337
001202.35+005314.0,3.009802,0.887223,1.6415,-24.747,0.433,338
001814.95-001628.6,4.562317,-0.274639,1.9218,-25.193,0.531,339
000610.07+002559.8,1.541964,0.433284,1.0264,-23.929,0.1,340
001921.22-000011.3,4.838458,-0.003155,0.9353,-24.054,-0.281,341
000920.01+005618.4,2.333394,0.938468,2.3863,-25.538,0.182,342
001502.26+001212.4,3.759431,0.203458,2.8515,-27.376,0.175,343
000248.92+005648.2,0.703861,0.946744,1.2936,-24.321,0.191,344
001921.73+000730.2,4.840554,0.125058,1.0269,-23.966,-0.049,345
000912.07+005818.2,2.300328,0.971726,2.6779,-25.91,-0.129,346
000348.46-004355.3,0.95193,-0.732052,0.8981,-23.467,-9.0,347
001805.51-002647.3,4.522982,-0.446479,1.4893,-24.717,0.07,348
001711.56-002445.6,4.298178,-0.412673,0.7764,-24.031,-0.064,349
001004.96-004906.8,2.520697,-0.818556,1.9748,-25.149,-0.038,350
000657.63-010358.7,1.740158,-1.066323,1.4358,-24.873,0.151,351
000453.25-003531.0,1.22191,-0.591963,1.5709,-24.651,0.004,352
000042.02-004501.3,0.175095,-0.750388,1.3077,-24.504,0.089,353
000520.99-001948.3,1.337485,-0.330088,1.0423,-23.684,0.147,354
001921.92-005407.4,4.841344,-0.902071,1.6186,-25.149,0.068,355
001814.96+001340.3,4.56236,0.227867,1.8838,-25.349,-0.051,356
000952.42+010717.7,2.468435,1.12159,1.0233,-23.188,0.093,357
000356.56-010131.6,0.985694,-1.025447,0.9103,-23.821,0.08,358
001451.55+005655.4,3.714814,0.948749,1.4684,-26.154,0.059,359
001913.75+002521.0,4.807331,0.422502,1.5711,-25.865,-0.036,360
001257.89+011528.0,3.24121,1.257795,1.1789,-24.924,0.177,361
000012.25-003220.5,0.051076,-0.539049,1.4365,-24.529,0.282,362
001237.35-002659.2,3.155648,-0.449795,1.9172,-24.885,0.003,363
001740.22-005353.0,4.417614,-0.898068,2.086,-25.842,0.373,364
001401.54+002834.2,3.506435,0.476192,1.4124,-25.419,0.067,365
000347.20+005344.7,0.946694,0.895754,0.5785,-22.431,0.262,366
000838.29-005156.8,2.159572,-0.865801,2.8892,-26.582,-0.229,367
000544.72-005706.6,1.436354,-0.951852,2.1113,-25.552,0.175,368
000444.23+010036.4,1.184301,1.010112,1.4297,-24.92,0.106,369
000546.46+002317.1,1.44362,0.388093,1.3531,-24.606,0.324,370
001453.36-002827.6,3.722344,-0.474351,1.9226,-26.555,0.403,371
001008.02+004018.2,2.533449,0.671726,1.8919,-25.401,0.066,372
001452.65+003958.5,3.719399,0.666269,1.4757,-25.543,0.07,373
001520.54+002716.5,3.835614,0.454602,3.6866,-28.172,-0.385,374
001629.72-002937.2,4.12386,-0.493693,1.2636,-24.283,-0.007,375
001327.52+010646.5,3.364672,1.112921,3.078,-27.27,0.001,376
