SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
000749.16+004119.6,1.954857,0.688786,4.7834,-27.295,0.598,377
000901.01-000306.7,2.254239,-0.051868,0.7117,-23.087,-0.042,378
000139.83-003713.5,0.415972,-0.620423,1.8331,-26.01,-0.124,379
000246.47-000615.4,0.693657,-0.104281,1.7127,-25.213,0.213,380
001808.70-005710.2,4.536279,-0.952841,1.335,-24.399,-0.037,381
001954.60+004114.1,4.977512,0.687273,1.9081,-25.707,0.061,382
001647.50+003943.1,4.197948,0.661995,1.7046,-24.923,-0.059,383
000803.87-003939.0,2.016163,-0.660855,2.093,-25.237,-0.202,384
001322.28-011239.4,3.342863,-1.210948,2.3002,-26.184,0.018,385
000046.41+011420.8,0.193415,1.239118,3.7592,-27.073,0.397,386
001002.84+010407.5,2.511848,1.068765,1.4457,-24.681,-0.162,387
000739.54-000519.8,1.914788,-0.08885,1.9023,-25.372,-0.025,388
000546.48-002413.9,1.443696,-0.403879,1.7298,-25.798,0.004,389
001852.35-010524.6,4.718141,-1.09018,2.8916,-26.112,0.045,390
001626.86-011349.8,4.111939,-1.230513,1.2163,-24.348,-0.025,391
001327.31+005232.0,3.363805,0.875562,0.3625,-23.722,-0.074,392
001007.02+002947.2,2.529255,0.49646,1.7318,-24.75,-0.062,393
001130.55+005550.7,2.877324,0.930756,2.3086,-27.407,0.729,394
000933.33+004414.7,2.388915,0.737431,0.9481,-23.63,0.224,395
001135.06-011421.9,2.896118,-1.239437,1.8574,-25.813,0.338,396
001330.57+001814.2,3.377385,0.30397,1.8442,-26.049,0.099,397
001443.69-011206.4,3.682044,-1.201784,2.7171,-27.345,0.065,398
000827.70+011452.1,2.115444,1.247824,1.2938,-24.553,0.099,399
001829.01+003515.7,4.620898,0.587713,1.1599,-23.3,0.056,400
001626.54+003632.4,4.110588,0.609013,3.2262,-26.398,0.101,401
000945.46+001337.0,2.439445,0.226963,0.6976,-24.414,-0.015,402
000008.13+001634.6,0.033898,0.276304,1.8365,-25.738,0.421,403
001534.67-011118.7,3.89447,-1.188553,0.4065,-22.13,0.291,404
000451.86-001203.7,1.216108,-0.201036,1.0278,-24.711,-0.101,405
000717.73-002811.3,1.823883,-0.469827,1.8856,-24.61,0.288,406
000201.99+004540.5,0.508316,0.761275,1.4364,-25.592,0.093,407
001223.31-010922.7,3.097158,-1.156306,1.4387,-25.24,-0.131,408
000649.31+003925.3,1.705485,0.657036,1.5878,-25.232,-0.087,409
001322.83+011348.2,3.345127,1.230064,1.7141,-25.266,0.616,410
001920.12-002237.4,4.83385,-0.377073,2.1581,-25.655,0.094,411
001044.42+003344.7,2.685091,0.562444,2.5514,-25.187,-0.217,412
001535.71-001114.3,3.898812,-0.187314,1.2959,-25.767,-0.061,413
001800.60-011522.9,4.502518,-1.256388,1.5767,-24.988,0.188,414
001645.49-004357.4,4.189573,-0.732633,2.2499,-26.233,0.07,415
000639.16+002821.0,1.663198,0.472515,2.2015,-26.177,-0.031,416
000912.69+010919.0,2.302902,1.155281,2.4708,-26.685,0.127,417
001903.27-004223.4,4.763642,-0.706504,1.0759,-23.634,0.03,418
000737.13+002003.2,1.904739,0.334232,1.1003,-24.978,0.315,419
000539.29-010243.8,1.413709,-1.045516,0.8663,-23.585,0.008,420
001957.60+003936.2,4.990034,0.66008,0.9945,-24.379,0.159,421
001904.83+003436.5,4.770138,0.576823,2.1178,-26.581,0.039,422
001438.28-010750.1,3.659519,-1.130607,1.8156,-26.758,0.608,423
001204.63-004113.7,3.019313,-0.687146,1.3344,-25.498,0.043,424
000801.72+004613.3,2.007176,0.770382,1.9162,-25.33,0.703,425
000405.39-004809.9,1.022495,-0.802776,1.0845,-23.139,0.53,426
000316.38-000732.4,0.818289,-0.125675,3.1795,-26.392,-0.201,427
001839.83-001303.0,4.665969,-0.217524,1.5892,-25.559,0.035,428
000637.88-001842.3,1.657871,-0.311776,0.9892,-24.217,-0.087,429
001404.45+011237.4,3.518545,1.210411,2.1679,-25.553,0.117,430
001545.36+000822.6,3.939002,0.13962,0.371,-22.491,0.678,431
000043.70-001346.2,0.182121,-0.229501,2.1938,-25.447,0.577,432
000306.24-004930.4,0.776006,-0.825122,1.0506,-23.912,-0.084,433
000051.56+001202.5,0.214856,0.20071,3.8806,-26.851,0.712,434
000910.85+004028.6,2.29522,0.674633,1.7869,-25.784,0.118,435
000056.89-010409.7,0.237056,-1.069386,2.1065,-26.287,0.721,436
001416.25-011355.9,3.567723,-1.232198,2.0841,-25.296,0.113,437
000232.32-002029.8,0.634677,-0.341632,2.1851,-25.624,-0.084,438
001456.51-000108.0,3.735484,-0.018897,2.6406,-25.927,-0.08,439
001536.78+003757.3,3.903284,0.632594,1.3722,-24.221,0.08,440
001619.22+002500.9,4.080112,0.416936,1.8631,-25.296,0.14,441
005436.35+005055.6,13.651461,0.848784,2.2361,-25.88,0.38,442
005727.48-000127.7,14.364506,-0.024372,0.6571,-23.124,0.445,443
004600.26-002122.4,11.501101,-0.356228,1.9187,-25.455,0.238,444
004950.91+000330.1,12.462144,0.05837,1.3292,-24.949,0.257,445
005646.82+010452.4,14.195116,1.081248,1.996,-26.561,0.097,446
005905.39-004701.3,14.772492,-0.783715,1.5606,-24.902,0.089,447
004250.54+010205.9,10.710589,1.034984,0.5995,-23.511,0.11,448
005633.87-002625.2,14.14116,-0.440357,1.6996,-25.885,0.443,449
004414.04-004222.4,11.058516,-0.706243,1.704,-24.87,1.135,450
004553.68-000255.8,11.473668,-0.048858,2.2241,-25.708,-0.058,451
004714.16-002733.2,11.809029,-0.459229,1.2537,-26.503,0.022,452
004255.48+005622.7,10.731206,0.939658,1.5761,-24.81,0.034,453
004806.05+004623.6,12.025239,0.773245,2.3585,-26.559,0.031,454
004032.10-001350.8,10.133773,-0.23079,0.2419,-22.266,0.234,455
004227.47+001416.3,10.614483,0.237863,0.6061,-23.543,-0.089,456
005348.64-002157.1,13.452704,-0.365866,3.984,-26.576,0.014,457
004116.03+000012.8,10.31682,0.003566,2.1175,-25.484,-0.071,458
004951.17-005915.9,12.463248,-0.987768,1.5404,-24.935,-0.03,459
004442.07-004210.2,11.175304,-0.702855,0.5576,-22.613,0.109,460
005117.56+002555.3,12.823184,0.432042,1.7484,-24.39,0.319,461
004401.92-003401.5,11.008005,-0.567084,1.8149,-25.439,0.286,462
005716.99-002433.1,14.320832,-0.409221,2.7118,-27.043,0.023,463
004646.50+011258.7,11.693784,1.216326,2.0895,-25.463,-0.094,464
004147.89+004022.7,10.449573000000001,0.672989,1.8225,-25.515,0.164,465
005454.94+010102.8,13.728932,1.017448,1.0639,-24.666,0.018,466
005758.10-010405.6,14.4921,-1.068237,1.2955,-25.234,0.052,467
005717.36-000113.2,14.322353,-0.020353,2.1567,-26.651,-0.1,468
004852.41-002430.7,12.218408,-0.408553,2.6957,-27.21,-0.111,469
005755.54+002551.2,14.481429,0.430899,1.6132,-25.036,0.154,470
004603.29+000729.5,11.513721,0.124873,2.5608,-26.054,0.21,471
005342.16+005157.0,13.425668,0.865843,1.4406,-25.495,-0.05,472
005738.44-004636.3,14.410171,-0.776762,1.3978,-24.914,-0.015,473
004322.36-001343.7,10.843203,-0.22881,1.5927,-26.018,0.109,474
005402.98+005738.7,13.512434,0.960777,2.4105,-26.141,0.07,475
004028.76-003809.8,10.119863,-0.636058,0.7268,-23.61,0.015,476
004209.92+002145.8,10.541363,0.362748,1.7624,-24.977,0.041,477
004236.18-002623.1,10.650781,-0.439765,1.5398,-24.912,0.754,478
004918.97+002609.5,12.329079,0.435977,1.9437,-27.124,0.002,479
004732.73+002111.3,11.886388,0.353148,2.8785,-27.556,-0.127,480
004722.40+011019.0,11.843349,1.171958,1.7378,-25.465,0.373,481
004712.45-004844.4,11.801907,-0.812358,1.4142,-24.926,0.576,482
004305.92-004637.6,10.774669,-0.777129,0.8482,-23.36,-0.036,483
005500.38+005637.5,13.751584,0.94375,1.4553,-26.117,0.069,484
005444.63-004645.7,13.685982,-0.779382,0.8375,-23.385,0.235,485
005019.22+000050.2,12.580103,0.013946,2.0364,-25.504,0.218,486
005837.59-011135.9,14.656625,-1.193319,2.0686,-25.508,0.028,487
005558.00-002010.6,13.991685,-0.336296,1.3734,-25.377,0.081,488
004207.45-005730.2,10.531044,-0.958412,1.5496,-25.572,0.172,489
005557.01+005933.4,13.987564,0.992618,1.305,-24.345,0.131,490
005008.48+011330.1,12.53537,1.225038,1.1376,-24.906,0.048,491
004646.00+002729.6,11.691681,0.458245,0.4667,-22.791,0.397,492
005505.15-003708.4,13.771486,-0.619022,0.7135,-22.932,0.106,493
004120.26+002611.1,10.334457,0.436426,2.3589,-25.186,0.019,494
005202.39+010129.3,13.009996,1.024809,2.2709,-28.361,0.059,495
004740.48+001417.8,11.918702,0.238304,1.1576,-24.029,0.062,496
004209.15+004537.1,10.538158,0.760324,1.67,-25.44,-0.042,497
004200.79+003357.0,10.503331,0.565842,1.403,-24.18,0.18,498
004555.82+005455.1,11.482609,0.915327,1.5503,-24.978,0.27,499
004232.72-005329.0,10.636367,-0.891414,1.38,-24.402,-0.051,500
004626.37+001315.7,11.609887,0.221048,1.5417,-26.08,0.134,501
004243.06+000201.3,10.679449,0.033719,1.082,-25.836,-0.032,502
004003.46+003501.8,10.014449,0.583859,2.7114,-27.258,0.062,503
005418.28-004538.2,13.576196,-0.760638,3.3804,-26.745,-0.094,504
004405.37-003901.0,11.022392,-0.650298,1.5969,-25.644,0.176,505
004344.51-004132.7,10.935489,-0.69242,1.9299,-25.233,-0.02,506
005429.43+005848.2,13.62264,0.980076,0.5017,-22.189,0.117,507
004613.48+002358.0,11.556201,0.39947,2.1206,-26.836,0.245,508
004510.14+004041.3,11.292277,0.678161,1.7057,-25.331,0.159,509
005334.13-004031.8,13.392226,-0.675525,2.0394,-25.841,-0.054,510
004329.64-002100.4,10.873517,-0.350114,0.8503,-24.176,0.007,511
005324.07+001532.9,13.350321,0.259152,1.4035,-25.602,-0.1,512
005122.56+003431.3,12.844006,0.575371,0.7079,-22.797,0.402,513
005401.48+002847.7,13.506173,0.479941,3.4127,-26.696,-0.141,514
005637.10-002649.9,14.154624,-0.447207,0.4737,-22.29,0.537,515
005102.42-010244.3,12.760099,-1.045665,1.8772,-27.847,0.054,516
004412.24+011505.4,11.051032,1.251513,1.3966,-26.289,-0.02,517
005616.68+004814.8,14.069538,0.804112,0.9098,-23.59,-0.175,518
005256.91-001709.1,13.237153,-0.285879,1.6776,-26.719,0.222,519
004502.64+004403.3,11.261002,0.734254,0.621,-23.755,-0.099,520
004505.06-005532.4,11.271093,-0.925673,1.4376,-25.454,0.2,521
004824.41+005408.9,12.101711,0.902477,0.9347,-23.802,-0.006,522
005011.17-002312.2,12.546549,-0.386738,2.6971,-25.579,0.371,523
004219.46-000542.4,10.581103,-0.095114,1.1728,-24.714,-0.03,524
005949.56+010717.4,14.956523,1.121522,1.5211,-25.133,0.473,525
004218.71+003237.1,10.577999,0.54364,3.0628,-26.704,0.337,526
005527.37-002949.2,13.864059,-0.497001,1.8347,-25.189,-0.057,527
005244.48+004958.5,13.185349,0.832925,1.8743,-25.381,0.049,528
004619.13-010048.1,11.57971,-1.013377,1.2563,-24.939,0.048,529
005638.88+000222.1,14.162016,0.039485,1.5835,-25.583,0.258,530
004951.98+000344.1,12.466616,0.06227,1.1211,-24.821,0.042,531
004505.54+003142.7,11.273105,0.528549,1.5397,-24.639,-0.048,532
004452.75-000826.1,11.219826,-0.140611,3.6323,-26.826,0.126,533
005316.92-005832.0,13.320503,-0.975583,1.8238,-25.353,0.531,534
004121.18-011220.3,10.338284,-1.20566,3.4704,-26.761,0.261,535
004424.47+002932.9,11.101988,0.49248,2.1668,-25.795,0.013,536
004332.71+002459.8,10.886296,0.416634,1.1283,-24.93,0.04,537
004315.08+011445.6,10.812864,1.246004,1.5632,-27.377,-0.039,538
005719.75-010010.3,14.332305,-1.002889,0.6491,-23.143,0.116,539
005923.89-000120.4,14.84956,-0.022352,0.747,-22.876,-0.164,540
004712.73+000549.4,11.803076,0.097077,1.6824,-25.36,0.082,541
004415.82-004303.1,11.065937,-0.717535,3.2047,-26.423,-0.114,542
005654.88-003207.6,14.228702,-0.535459,3.2536,-26.248,0.312,543
005646.17-004902.2,14.19239,-0.817295,1.1154,-24.531,-0.109,544
005535.01-003258.3,13.895901,-0.549547,2.0334,-26.854,0.518,545
004710.43-005218.0,11.79349,-0.871676,1.6538,-25.376,0.268,546
005523.83-001941.9,13.8493,-0.328313,1.8121,-27.039,0.014,547
005338.11-010829.3,13.408833,-1.141483,2.38,-25.191,0.135,548
005235.24+010228.0,13.146872,1.041135,1.3887,-26.324,-0.054,549
004407.85-001126.5,11.032729,-0.190712,1.6002,-24.978,-0.051,550
005602.55-000202.8,14.01066,-0.034139,2.3744,-25.971,0.136,551
005947.42-011010.9,14.947588,-1.169698,1.1275,-25.633,0.19,552
005831.50+002756.8,14.631254,0.465795,2.0973,-25.305,0.508,553
004134.16+010018.9,10.392363,1.005271,0.4875,-22.405,0.686,554
004040.63+001121.2,10.169328,0.189226,0.8641,-24.566,-0.04,555
005129.38-003644.7,12.872433,-0.612441,3.7404,-26.691,0.12,556
005521.72-002817.2,13.840539,-0.471452,2.2481,-25.863,-0.202,557
004351.41+000956.8,10.964247,0.165802,0.8234,-23.19,-0.071,558
004525.11-003433.9,11.354664,-0.576096,1.5503,-25.021,0.14,559
004349.50+003930.2,10.956287,0.658414,1.9351,-25.363,0.203,560
004434.08+001903.5,11.142007,0.317643,1.8786,-26.419,0.023,561
004506.47+010641.7,11.276961,1.111601,1.0084,-24.787,0.09,562
005026.38+000404.3,12.60995,0.067867,1.4076,-24.52,0.539,563
004611.81+001930.4,11.54924,0.325131,0.6876,-23.141,0.122,564
004414.22+003249.0,11.059251,0.54695,2.0832,-26.253,0.045,565
005942.13+000619.4,14.925567,0.105416,2.5051,-26.015,0.143,566
005717.63+005158.1,14.32347,0.866151,1.033,-23.767,0.136,567
005840.03-004845.7,14.666828,-0.812695,0.8087,-23.719,0.035,568
005413.17-001138.4,13.554886,-0.194023,0.7822,-24.216,-0.067,569
004919.68-001031.5,12.332026,-0.175432,0.817,-23.518,0.01,570
005155.06-003115.0,12.979453,-0.520843,1.3264,-25.109,0.342,571
005152.75-002503.4,12.969793,-0.417615,1.272,-25.633,-0.061,572
004220.92-011253.2,10.587197,-1.214794,1.5853,-25.435,-0.052,573
005113.68+003759.1,12.807021,0.633093,2.0001,-25.49,-0.015,574
005228.68-001635.4,13.119515,-0.276507,1.0233,-25.069,0.146,575
005441.19+000110.6,13.671658,0.019628,0.6466,-24.812,0.26,576
004152.18-005348.3,10.46743,-0.896764,1.6765,-25.289,0.061,577
005711.43-002000.6,14.297642,-0.333518,2.7593,-26.585,0.068,578
005930.06+011124.4,14.875266,1.190115,1.03,-25.395,0.093,579
005109.45+001636.3,12.789377,0.276771,2.0361,-25.734,0.184,580
004458.20+005043.8,11.24251,0.845512,1.201,-25.349,0.059,581
005514.50-000706.4,13.810417,-0.118457,2.0496,-25.349,0.382,582
005959.65-010851.2,14.998556,-1.147579,1.6748,-25.167,0.27,583
005142.86+005750.9,12.928614,0.964163,1.5922,-24.853,0.171,584
005751.86-003408.4,14.466115,-0.569011,1.1605,-24.615,0.198,585
004018.67+005525.9,10.077824,0.923872,2.0862,-26.326,0.257,586
005713.03+005725.6,14.304307,0.957114,1.7683,-26.229,-0.068,587
004335.11+001730.7,10.896327,0.291873,0.7347,-23.322,0.098,588
004840.77+002101.1,12.169903,0.350312,1.6056,-25.16,0.159,589
005811.02-011032.1,14.545956,-1.175595,0.8984,-23.336,-9.0,590
005240.17-003332.1,13.167414,-0.558929,2.065,-25.544,0.205,591
005411.89+000404.4,13.549575,0.067911,1.2004,-24.247,-0.144,592
005642.28+000104.7,14.176188,0.017983,1.0769,-24.217,-0.084,593
004308.92+011218.9,10.787184,1.205258,1.1875,-24.725,-0.104,594
004608.54+000537.2,11.535614,0.093672,1.4401,-24.937,0.573,595
005709.50-005450.9,14.289608,-0.91414,1.8899,-26.646,-0.109,596
004905.20+004328.3,12.271702,0.724552,1.1928,-24.044,0.119,597
004454.06-010200.9,11.225261,-1.0336,1.8633,-26.02,-0.05,598
005621.72+003235.6,14.090507,0.543245,0.484,-22.396,1.555,599
004158.53+000310.2,10.493894,0.052848,1.0286,-23.886,0.398,600
004213.46+005917.7,10.556096,0.988253,0.3289,-22.652,0.448,601
004150.65+000728.1,10.461058,0.12448,0.4559,-23.058,0.517,602
005234.33-003305.7,13.143067,-0.551588,1.9339,-26.156,-0.188,603
005206.98+004816.9,13.029094,0.804707,1.6003,-24.802,0.01,604
004356.46-002830.4,10.98529,-0.475125,1.8631,-25.918,0.149,605
005513.51-001935.8,13.806295,-0.326635,1.9871,-25.195,0.168,606
004918.52+011308.9,12.327195,1.219163,1.3389,-24.822,0.137,607
004213.01+000807.3,10.554209,0.135379,1.477,-24.509,0.068,608
004224.97+002503.7,10.604052,0.417697,2.3167,-26.692,0.058,609
004143.16-005855.0,10.42985,-0.981957,2.5442,-26.874,-0.099,610
005905.50+000651.6,14.772956,0.114358,0.7189,-25.465,-0.069,611
004315.10+011053.2,10.812936,1.181471,1.9202,-25.987,0.084,612
004822.25-011412.0,12.09271,-1.23668,1.6576,-25.9,0.061,613
004939.11-000659.4,12.412985,-0.116504,3.0538,-27.235,0.248,614
004349.90-001836.0,10.957936,-0.310011,1.1052,-24.164,-0.051,615
004539.01+003447.0,11.412554,0.57973,1.6981,-25.767,0.956,616
004912.11+005437.2,12.300488,0.910348,1.4168,-24.713,0.129,617
005419.98+002727.9,13.583285,0.457762,2.5195,-27.768,0.476,618
004855.85-000036.2,12.232731,-0.010079,1.7245,-25.453,0.138,619
005723.51+004057.7,14.347966,0.682716,0.67,-23.38,0.064,620
004228.38+010844.6,10.618263,1.145729,0.8162,-23.661,0.202,621
005013.77-002446.4,12.557405,-0.412891,2.0306,-26.322,0.437,622
005225.34+002006.6,13.105587,0.335193,1.3238,-25.273,-0.001,623
004215.53-003455.5,10.564725,-0.582088,2.1244,-25.999,0.198,624
004746.78+001612.1,11.94494,0.270029,1.4564,-24.927,-0.26,625
005341.70-002333.4,13.423789,-0.392627,2.235,-25.337,0.117,626
004746.24-000036.4,11.942678,-0.010113,1.541,-25.776,0.022,627
004849.62+010543.5,12.206775,1.095444,2.6152,-26.983,-0.131,628
004152.55+003005.0,10.468964,0.501399,2.3063,-26.233,-0.046,629
004424.58+004155.4,11.102443,0.698739,0.7959,-23.767,0.213,630
005639.84+005820.4,14.166026,0.97234,1.1661,-25.505,0.052,631
004837.31+010058.6,12.155486,1.016292,1.1025,-24.156,0.225,632
005303.45-005436.7,13.264385,-0.910222,1.1681,-26.226,0.1,633
004250.36-003656.0,10.709845,-0.615568,1.3332,-25.888,0.076,634
005709.17-004041.7,14.288237,-0.678268,1.2288,-24.995,-0.075,635
005516.98+010844.7,13.820787,1.145764,3.1313,-26.923,0.189,636
005225.44+004251.1,13.106019,0.714199,2.9201,-26.489,0.003,637
005220.95+010037.7,13.087296,1.010486,1.5198,-24.908,0.002,638
005722.48+010101.8,14.343702,1.017194,1.1402,-25.743,0.414,639
004436.04-004409.6,11.150207,-0.736018,2.5134,-25.649,0.137,640
004905.94-003134.3,12.274767,-0.526197,4.1493,-26.917,-0.065,641
004510.55-003009.7,11.29397,-0.502717,1.4749,-25.058,0.041,642
004554.63+001111.8,11.477666,0.18662,1.5102,-25.47,0.042,643
004237.43+002605.8,10.655962,0.434945,1.4908,-25.684,-0.056,644
004826.09-011310.7,12.108727,-1.21966,1.0341,-23.651,0.224,645
005026.78+003157.1,12.61162,0.532553,1.2113,-25.837,0.02,646
004342.79+004841.7,10.928317,0.811596,0.913,-23.709,-0.453,647
005509.78-004521.6,13.790781,-0.756024,0.6495,-22.692,0.453,648
004153.73+004155.3,10.473891,0.698703,0.5584,-22.608,0.068,649
005538.21-002730.0,13.909231,-0.458341,1.227,-24.365,-0.048,650
005408.97-001909.5,13.537396,-0.319313,0.939,-24.795,0.004,651
005215.64+003120.5,13.065205,0.52237,2.8495,-27.045,0.276,652
005518.98+005004.9,13.829101,0.834711,2.4822,-26.505,0.2,653
004047.06-001710.9,10.196103,-0.286376,0.5574,-22.797,0.248,654
004146.93+002047.0,10.445583,0.346402,2.8311,-26.206,-0.302,655
004716.52+002316.4,11.818836,0.387904,2.2079,-26.899,0.023,656
004759.64-003423.5,11.998522,-0.573214,1.0344,-23.945,0.095,657
005219.31-002315.5,13.080486,-0.387643,2.8194,-26.605,-0.23,658
005732.04-003917.3,14.383542,-0.654813,1.5805,-24.718,0.193,659
004141.07-001937.8,10.421135,-0.327168,0.4637,-22.784,-0.008,660
004338.10+004615.9,10.908776,0.771086,1.5741,-25.267,0.311,661
005638.49+003641.3,14.160388,0.611479,1.2352,-24.237,0.576,662
005837.30-003553.7,14.655443,-0.598251,1.8125,-26.075,0.168,663
004118.59+001742.4,10.327463,0.295137,1.7649,-26.557,0.198,664
005124.93+003033.1,12.8539,0.509212,1.6164,-24.996,-0.118,665
005823.86-000415.1,14.599445,-0.070862,0.9338,-24.453,-0.081,666
004516.60-004849.6,11.319173,-0.813794,2.8819,-26.807,0.357,667
005204.46+001303.5,13.018611,0.217644,1.7127,-25.215,-0.019,668
005940.67-000946.2,14.919463,-0.16285,2.391,-26.615,0.372,669
005304.80+000537.2,13.270041,0.093687,1.7378,-25.034,-0.045,670
005830.16+005130.1,14.625671,0.858363,1.8256,-26.101,0.378,671
005108.07+000916.5,12.78365,0.154606,1.8365,-25.921,-0.02,672
004141.46+003544.8,10.422763,0.59579,1.1644,-24.587,0.188,673
004322.79-010705.8,10.844974,-1.118293,1.3355,-24.38,-0.124,674
005520.53-005454.5,13.835563,-0.91516,1.8945,-25.335,0.298,675
005526.78+000838.0,13.861615,0.143903,2.0685,-25.772,0.002,676
005310.84+003025.6,13.295204,0.50713,1.5764,-24.293,0.121,677
004317.18-003916.4,10.821603,-0.654556,0.8575,-23.234,0.039,678
005257.73+005240.5,13.24055,0.877932,1.0265,-23.93,0.152,679
005114.50+002344.6,12.810422,0.395746,1.5655,-24.519,0.542,680
005639.33-003655.3,14.16391,-0.615365,0.9204,-23.912,-0.045,681
005600.62+005355.4,14.002607,0.898734,2.7598,-25.94,-0.111,682
005355.15-000309.3,13.479811,-0.0526,1.7189,-27.07,0.271,683
005021.22+005135.0,12.588428,0.859743,2.2345,-27.826,0.013,684
004936.39+000452.4,12.401648,0.081236,2.3,-26.889,0.097,685
004430.72+003600.6,11.128015,0.600193,1.2741,-24.427,0.668,686
005305.28+002608.3,13.272028,0.43566,1.5417,-24.499,-0.149,687
004112.41+011128.9,10.301716,1.191363,1.7528,-25.332,0.148,688
005604.80+005126.5,14.020014,0.857379,0.6945,-23.934,0.011,689
004338.28+000523.8,10.909542,0.08995,0.8215,-24.24,-0.075,690
004220.27-005948.7,10.584492,-0.996887,1.3335,-25.357,0.066,691
004613.78+004410.2,11.557423,0.736192,1.4896,-25.809,0.248,692
004756.65+002917.3,11.986071,0.488154,0.853,-23.266,0.104,693
004656.39-005908.5,11.734986,-0.985695,1.9661,-25.847,-0.023,694
005515.79-004952.7,13.815801,-0.831331,0.4577,-22.222,0.989,695
005342.95+002057.2,13.428996,0.349228,2.85,-26.712,0.164,696
005855.75+011128.5,14.73232,1.191272,1.221,-26.079,0.061,697
005922.65+000301.4,14.844383,0.050395,4.1544,-27.806,1.035,698
004052.85-010724.8,10.220233,-1.123579,3.6615,-26.342,0.007,699
005146.48+000247.3,12.943678,0.046486,1.3833,-25.137,0.53,700
004610.17+000449.7,11.542394,0.080487,0.8242,-24.097,0.276,701
004602.50+001049.9,11.510457,0.180549,1.4327,-24.988,0.0,702
004632.01-001428.9,11.633404,-0.241383,1.0776,-23.983,-0.027,703
004356.59-011357.5,10.985799,-1.232647,0.9356,-22.987,-0.634,704
004341.48+005610.0,10.922868,0.936112,0.83,-23.768,-0.325,705
005950.35+002938.0,14.959822,0.493916,0.7479,-23.756,-0.112,706
005236.73+003234.2,13.153083,0.542848,1.576,-25.223,-0.042,707
004525.32+005219.5,11.355502,0.872105,1.6769,-25.529,-0.038,708
004529.17+000555.4,11.371543,0.098738,3.0456,-26.328,-0.052,709
004956.84+003002.4,12.48685,0.500687,0.97,-24.808,-0.147,710
004630.37+005231.9,11.626554,0.875531,0.5014,-22.197,0.63,711
005120.35-004250.0,12.834827,-0.71389,2.3393,-25.74,0.266,712
005844.81-003934.1,14.68674,-0.659494,1.6048,-25.429,0.013,713
005458.49+010345.4,13.743735,1.062636,2.0171,-25.708,-0.123,714
004336.00+010636.9,10.900016,1.110268,0.998,-24.267,0.087,715
005454.84-004244.0,13.728507,-0.71224,2.219,-27.712,0.121,716
005557.04-000217.2,13.987706,-0.03812,2.1334,-25.463,-0.039,717
005743.78-001158.9,14.43244,-0.199722,1.0672,-23.97,-0.091,718
004324.55-011226.9,10.85232,-1.20748,1.3554,-23.886,-2.07,719
005030.80+001125.1,12.628353,0.190309,0.646,-22.642,0.14,720
005031.52-003315.0,12.631374,-0.554184,1.9933,-25.694,0.11,721
