dbID,z,iMag,npts,H,C
1397265,0.4465,19.675,14,0.9433356058486989,2.8420617395856627
1397281,1.8189,19.874,53,0.9282625972055412,3.6648848432788816
1398717,1.8408,18.675,111,0.8818814778770088,3.5963685173657822
1399090,1.3745,19.868,54,0.9287537963861239,3.9137201966290993
1399126,1.2429,20.254,55,0.9298163451001182,3.3394443210270595
1399954,0.9024,19.5,56,0.912495529185591,3.439845990264583
1400134,1.7744,20.267,41,0.9490258777668199,3.1565362566986614
1400578,0.7762,19.397,46,0.9476774469730698,3.4883177168011756
1401716,0.5388,20.253,49,0.9108201487760684,3.5675019399347407
1401923,1.0615,19.223,55,0.9394549823846917,3.6362838162294646
1402018,0.8936,18.433,54,0.9252829733235423,3.3116093971476994
1402057,1.4573,19.664,55,0.8957828600155959,3.7847035638306674
1402154,1.698,20.502,50,0.8892544699446233,3.1136509635040346
1402758,1.8978,19.831,52,0.9272779147905418,3.7188176174884022
1402770,1.2271,20.176,51,0.8982005852395091,3.538643069451893
1403979,1.7752,20.077,56,0.9258932295897857,3.878975265617508
1404594,1.9702,19.427,55,0.9432754557503719,3.6362838162294646
1404855,0.5739,18.452,54,0.9106514249686584,3.2363455472125247
1405184,2.6363,20.609,55,0.9276655163282769,3.562073942428863
1405217,1.7774,18.074,56,0.8724480847870664,3.439845990264583
1405972,1.533,20.35,104,0.9332317145425103,3.2465645120211533
1406183,1.0608,20.261,92,0.9072326662454941,3.378918936695986
1407380,1.2583,20.153,56,0.9347658836020294,3.22028135258812
1408610,0.8237,19.772,50,0.9375847904091581,3.6725113928509123
1411151,1.1994,19.062,56,0.9118930116338191,3.5862224153822244
1412379,1.2328,19.192,53,0.9234612885320816,3.3594777730056413
1412561,1.8921,19.469,58,0.9067293850284145,3.4905562722241146
1413435,1.3361,20.156,58,0.9108500235765288,3.8467354836755545
1413463,1.6181,20.617,45,0.9630159928334272,3.7201474331846303
1413915,0.731,18.331,57,0.9100660175118485,3.321077827149809
1413956,0.7408,18.149,54,0.9495107958655291,3.3868732470828746
1414426,1.7425,20.119,54,0.9449275511454743,3.5374009469532246
1415760,1.7002,19.143,55,0.8999947723086776,3.1910245734258567
1416128,2.5461,18.513,53,0.9438914179208945,3.4358295405739514
1416207,1.0931,18.445,54,0.8833708540168702,3.5374009469532246
1416647,2.2155,19.861,53,0.9489553262050554,3.7412366108471917
1416668,1.5211,18.985,52,0.9433840471298227,3.408916149364369
1417014,1.9125,19.061,56,0.9325317085405516,3.439845990264583
1417132,1.6476,19.382,55,0.8772170364323906,3.6362838162294646
1418559,3.025,19.335,59,0.9120655935582611,3.5151184861256204
1421201,0.8176,20.297,54,0.9162503334039771,3.4621370970180494
1421827,1.4386,19.992,50,0.925096693529856,3.432999780273679
1421873,1.0888,19.935,56,0.9217341938545719,3.439845990264583
1423616,1.0249,20.073,54,0.9303940078096327,3.3868732470828746
1423729,1.5608,20.0,50,0.9137398127433396,3.6725113928509123
1424924,1.5512,20.727,46,0.9284671491397007,3.5733986367231556
1426307,1.0518,19.461,56,0.933154065045564,3.5130342028234036
1426461,1.2379,19.813,102,0.9161459798345973,3.617552992568885
1427724,2.6365,17.754,54,0.9396168111462341,3.4621370970180494
1428183,1.2721,18.279,57,0.9336390877983737,3.0322884508759125
1428742,1.7567,20.202,52,0.9369280833262069,3.4863915163953774
1428755,1.4452,19.866,105,0.8982543276826288,3.7142183563757154
1429075,0.8267,18.853,57,0.9250497216710976,3.393275171218283
1429429,2.1794,19.527,53,0.9462275809644947,3.4358295405739514
1430099,1.2985,20.09,51,0.93273619933688,3.6959160947608662
